Tweeter Account,Tweets,Created Date,Compound Score,Positive Score,Negative Score,Neutral Score
BBC News (World),"RT @BBCNewsNI: .@PresidentIRL apologises to women who were forced to work in Magdalene Laundries during ""a dark period in the country's his…",Wed Jun 06 13:34:08 +0000 2018,-0.30,0.07,0.12,0.81
BBC News (World),"Zdravko Mamic, Croatian football's Mr Big, given jail term https://t.co/AcEIAheY5V",Wed Jun 06 13:23:58 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),RT @BBCNewsGraphics: Women around the world are sidestepping legal barriers to abortion by buying pills online. https://t.co/umDxK1m8gQ htt…,Wed Jun 06 13:11:20 +0000 2018,0.13,0.08,0.00,0.92
BBC News (World),Stanford rape case judge Aaron Persky removed from office https://t.co/xz8U6X9Fqj,Wed Jun 06 12:23:35 +0000 2018,-0.69,0.00,0.34,0.66
BBC News (World),Astronaut Pedro Duque named Spain's science minister https://t.co/mloOidh8F6,Wed Jun 06 12:23:33 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),Kim Kardashian West 'cried' over Kanye slavery comments https://t.co/9D3m12dhCU,Wed Jun 06 11:40:55 +0000 2018,-0.70,0.00,0.38,0.62
BBC News (World),Job application tool PageUp suspects data breach https://t.co/qaO0YtUT1E,Wed Jun 06 11:19:31 +0000 2018,-0.34,0.00,0.26,0.74
BBC News (World),Emirates airline is testing virtual windows instead of real ones which could pave the way for lighter and faster pl… https://t.co/Kbpo6Wb9fU,Wed Jun 06 10:53:51 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),Chinese city gets 'smartphone zombie' walkway https://t.co/0Hx7Uu6nhe,Wed Jun 06 10:48:57 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),The Twitter crime mystery that gripped Spain https://t.co/RdYguOvh9O,Wed Jun 06 10:10:45 +0000 2018,-0.54,0.00,0.33,0.67
BBC News (World),Virginia police chase stolen armoured vehicle https://t.co/vgGw8LfxR4,Wed Jun 06 09:37:58 +0000 2018,-0.49,0.00,0.35,0.65
BBC News (World),Emotional 'welcome home' for Magdalene survivors in Dublin https://t.co/QviqzdmJJB,Wed Jun 06 09:28:41 +0000 2018,0.56,0.40,0.00,0.60
BBC News (World),Qatar Airways boss in 'heartfelt apology' for sexist remark https://t.co/CiXCf7HoBv,Wed Jun 06 09:26:15 +0000 2018,0.57,0.37,0.00,0.63
BBC News (World),US police arrest soldier after stolen armoured vehicle chase https://t.co/7b1ACFmIIZ,Wed Jun 06 09:14:26 +0000 2018,-0.68,0.00,0.41,0.59
BBC News (World),India's disabled dancers rocking the bhangra https://t.co/eXsunXbCfY,Wed Jun 06 07:54:34 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),Star Wars actress Kelly Marie Tran deletes Instagram posts after abuse https://t.co/ML9MtaaKmb,Wed Jun 06 07:51:51 +0000 2018,-0.83,0.00,0.44,0.56
BBC News (World),India zoo animals beat the heat with fruit ice lollies https://t.co/t4ARbhOtUB,Wed Jun 06 07:51:51 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),Might Dennis Rodman at the Trump-Kim summit just work? https://t.co/etNtWIzE9n,Wed Jun 06 07:49:23 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),RT @SallyBundockBBC: Should @elonmusk be both CEO and Chairman - is that too much control or necessary for a pioneering company such as #Te…,Wed Jun 06 07:20:42 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),"RT @BBCSteveR: Recent TV interviews with Putin. 

Austrian TV asked about:
Troll factories
MH17 ('Why should we believe you?')
Turning Russ…",Wed Jun 06 06:42:12 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),Facebook confirms data-sharing agreements with Chinese firms https://t.co/BSKv1H67WW,Wed Jun 06 05:39:23 +0000 2018,0.27,0.23,0.00,0.77
BBC News (World),Firemen save chickens from volcano eruption https://t.co/fW4LcsotX6,Wed Jun 06 05:06:38 +0000 2018,0.49,0.35,0.00,0.65
BBC News (World),Kate Spade: Tributes pour in for 'great talent' after apparent suicide https://t.co/fHxT6RbJcp,Wed Jun 06 03:27:49 +0000 2018,0.34,0.34,0.22,0.44
BBC News (World),Elizabeth Wettlaufer: Canadian nurse's confession released https://t.co/eZS85X8dGw,Wed Jun 06 03:01:34 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),Tariffs and Trump: Why the G7 summit in Canada could be awkward https://t.co/Z5Zm9Mw0zh,Wed Jun 06 02:37:41 +0000 2018,-0.15,0.00,0.12,0.88
BBC News (World),World Cup 2018: Welcome with a warning for England fans in Volgograd https://t.co/AhrNrGODff,Wed Jun 06 02:35:24 +0000 2018,0.15,0.20,0.16,0.65
BBC News (World),Cultural coding classes for migrants in Norway https://t.co/onEjhOF0wY,Wed Jun 06 02:28:46 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),James Sutherland: Cricket Australia chief executive quits https://t.co/Z7IxQBS61w,Wed Jun 06 02:14:34 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),Trump-Kim summit to be held on Singapore's Sentosa island https://t.co/9wISgHNFVg,Wed Jun 06 02:04:36 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),Pomegranate contamination kills woman in Australia https://t.co/9gaSBSB7DD,Wed Jun 06 01:28:47 +0000 2018,-0.54,0.00,0.37,0.63
BBC News (World),The punk who came back from the dead https://t.co/2gCXzh98fF,Wed Jun 06 01:02:32 +0000 2018,-0.65,0.00,0.35,0.65
BBC News (World),Argentina 'cancels Israel World Cup friendly' after Gaza violence https://t.co/KMsNcPRLcE,Wed Jun 06 00:29:32 +0000 2018,-0.42,0.20,0.37,0.43
BBC News (World),Kim Jong-un: The new kid on the diplomatic block https://t.co/kZ3UUEOE8j,Wed Jun 06 00:24:47 +0000 2018,-0.44,0.00,0.24,0.76
BBC News (World),Kuwait ‘blackface’ comedy show causes outcry https://t.co/tX3jluHeMQ,Wed Jun 06 00:18:30 +0000 2018,-0.20,0.23,0.31,0.46
BBC News (World),Kelly Sadler: Aide who mocked McCain exits White House https://t.co/q8BFv2KM3c,Tue Jun 05 23:56:39 +0000 2018,-0.32,0.00,0.20,0.80
BBC News (World),Take a look inside the world's largest legal cannabis farm https://t.co/RSes7vV1pa,Tue Jun 05 23:56:37 +0000 2018,0.13,0.14,0.00,0.86
BBC News (World),Rebuilding after 9/11 https://t.co/TpIUGWmF8d,Tue Jun 05 23:46:58 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),Inside the secret world of Brazil's WhatsApp abortions https://t.co/USIzzxIVGJ,Tue Jun 05 23:42:25 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),Cross-Channel migrants gain access to UK using Ireland https://t.co/GCMf94YhJH,Tue Jun 05 23:17:06 +0000 2018,0.53,0.30,0.00,0.70
BBC News (World),Why Kate Spade's legacy will live on https://t.co/EpADdBNupY,Tue Jun 05 23:07:46 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),Trump tariffs: Mexico retaliates against US products https://t.co/l2Sr05w71t,Tue Jun 05 23:05:18 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),New explosion at Guatemalan volcano https://t.co/loQAEO8ULf,Tue Jun 05 21:54:37 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),RT @BBCBreaking: Evacuations are ordered after a fresh blast at Guatemala's Fuego volcano sends material down the south side https://t.co/6…,Tue Jun 05 21:51:15 +0000 2018,0.32,0.11,0.00,0.89
BBC News (World),French town near Paris votes to have school uniforms https://t.co/NdztCaPSXd,Tue Jun 05 21:44:57 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),"RT @awzurcher: Donald Trump has the Republican rank and file behind him - and that dictates how he handles policy, Robert Mueller and the m…",Tue Jun 05 21:22:09 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),France builds first Alzheimer's 'village' in pioneering experiment https://t.co/kXcivV4gRV,Tue Jun 05 20:51:27 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),The rise of fashion designer Kate Spade reads like a classic American tale of a self-made businesswoman https://t.co/Kh30g7MinE,Tue Jun 05 20:19:13 +0000 2018,0.36,0.14,0.00,0.86
BBC News (World),Kate Spade: High school handbags and the New York City dream https://t.co/jIS4hPfekZ,Tue Jun 05 19:28:07 +0000 2018,0.25,0.15,0.00,0.85
BBC News (World),"Finally a prime minister who cleans up his own mess 👏

https://t.co/cHGVw4ypcd https://t.co/ah9ui1gra5",Tue Jun 05 19:17:54 +0000 2018,-0.36,0.00,0.20,0.80
BBC News (World),Jordan's King Abdullah calls for tax review after largest protests in years https://t.co/48HoihSEu3,Tue Jun 05 18:32:39 +0000 2018,-0.23,0.00,0.14,0.86
BBC News (World),Ethiopia 'accepts peace deal' to end Eritrea border war https://t.co/cnAzyywTHJ,Tue Jun 05 18:32:37 +0000 2018,0.23,0.35,0.23,0.42
BBC News (World),Parkland teenager David Hogg 'swatted' in prank call https://t.co/ZidQnFGY63,Tue Jun 05 18:30:19 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),"Tributes paid as fashion designer Kate Spade is found dead in her New York apartment
https://t.co/HLXmsvUF6s",Tue Jun 05 17:52:40 +0000 2018,-0.65,0.00,0.22,0.78
BBC News (World),RT @bbcworldservice: Do asylum seekers from the Middle East and Africa need classes to understand European 'cultural codes' around rape and…,Tue Jun 05 16:52:45 +0000 2018,-0.69,0.00,0.19,0.81
BBC News (World),Fashion designer Kate Spade found dead https://t.co/anKDpXuPoj,Tue Jun 05 16:20:35 +0000 2018,-0.65,0.00,0.42,0.58
BBC News (World),'Beauty iceberg' thrills Newfoundland and Labrador https://t.co/rDNnClfa9o,Tue Jun 05 16:05:15 +0000 2018,0.74,0.56,0.00,0.44
BBC News (World),RT @BBCAfrica: An earthquake is coming. #BBCAfricaEye is about to bring you the inside story about @anasglobal's explosive investigation in…,Tue Jun 05 15:01:51 +0000 2018,0.00,0.00,0.00,1.00
