Tweeter Account,Tweets,Created Date,Compound Score,Positive Score,Negative Score,Neutral Score
CBS News,WATCH LIVE: Director of the National Economic Council Larry Kudlow holds a press briefing on the G7 conference… https://t.co/FBjjHP3ZIV,Wed Jun 06 17:15:10 +0000 2018,0.00,0.00,0.00,1.00
CBS News,President Trump commutes the life sentence of Alice Marie Johnson after her case was championed by Kim Kardashian W… https://t.co/MzOV8qTJYo,Wed Jun 06 17:03:14 +0000 2018,0.36,0.16,0.00,0.84
CBS News,About 100 firefighters battle blaze at a luxury hotel in London; video footage shows smoke billowing from the roof… https://t.co/q40GrOBdwd,Wed Jun 06 16:54:54 +0000 2018,-0.38,0.00,0.13,0.87
CBS News,"Too close for comfort: A woman captured video of a black fin shark swimming just off the coast of Myrtle Beach, pro… https://t.co/74L7mE1bRJ",Wed Jun 06 16:40:05 +0000 2018,0.36,0.11,0.00,0.89
CBS News,"WATCH: President Trump is signing the VA Mission Act, which will facilitate military veterans' access to private-se… https://t.co/WE1QY2NYPY",Wed Jun 06 16:33:09 +0000 2018,0.00,0.00,0.00,1.00
CBS News,GOP Senate report says Obama officials gave Iran access to U.S. financial system https://t.co/uQ2uI2IlUk https://t.co/SqOXiKuj6O,Wed Jun 06 16:20:32 +0000 2018,0.00,0.00,0.00,1.00
CBS News,"Former New York City Mayor Rudy Giuliani says North Korean leader Kim Jong Un got ""on his hands and knees and begge… https://t.co/Edm9hrv3qY",Wed Jun 06 16:06:44 +0000 2018,0.00,0.00,0.00,1.00
CBS News,"Severe storms, including hail the size of baseballs, left a trail of damage in Texas overnight: ""It actually sounde… https://t.co/F0S5mRDS4d",Wed Jun 06 15:39:44 +0000 2018,-0.67,0.06,0.25,0.69
CBS News,Cambridge Analytica chief Alexander Nix accused of taking $8M from company ahead of its recent collapse… https://t.co/uQt5Ko8H2o,Wed Jun 06 15:24:49 +0000 2018,-0.30,0.00,0.12,0.88
CBS News,President Trump and North Korean leader Kim Jong Un will use a luxury resort for their nuclear summit in Singapore… https://t.co/qVBuCeM27l,Wed Jun 06 15:09:40 +0000 2018,0.00,0.00,0.00,1.00
CBS News,"Fire fighters brought out the vacuum for this rescue. But they weren't cleaning, they were sucking ducks out of a h… https://t.co/6bxqjrUKrw",Wed Jun 06 14:55:13 +0000 2018,0.31,0.15,0.14,0.71
CBS News,"“Why was it canceled? Probably because we didn't go. I mean, we could have, but … we wanted to get work in and got… https://t.co/WUcboR3VMp",Wed Jun 06 14:43:36 +0000 2018,0.00,0.00,0.00,1.00
CBS News,"""I'm not discussing it. It's over. What you have seen and what you heard is enough,"" Philadelphia Eagles coach Doug… https://t.co/DynG4hFy9y",Wed Jun 06 14:39:48 +0000 2018,0.00,0.00,0.00,1.00
CBS News,MOMENTS AGO: Philadelphia Eagles' coach Doug Pederson is talking to the press for the first time since the team was… https://t.co/Py0j25blzT,Wed Jun 06 14:37:52 +0000 2018,0.00,0.00,0.00,1.00
CBS News,California voters recall judge who sentenced Brock Turner to short jail sentence for sexually assaulting a young wo… https://t.co/ytfSdZ1Tde,Wed Jun 06 14:20:56 +0000 2018,-0.48,0.06,0.21,0.72
CBS News,Rep. Steve Scalise makes return to congressional baseball practice one year after he was shot… https://t.co/vYhUPbf0AA,Wed Jun 06 14:00:02 +0000 2018,0.00,0.00,0.00,1.00
CBS News,"At dawn, 74 years ago today, American troops landed on the beaches of Normandy for #DDay https://t.co/kZkMDX4NYy https://t.co/7keHgWnR3a",Wed Jun 06 13:45:13 +0000 2018,0.00,0.00,0.00,1.00
CBS News,"GOP Senate report says Obama officials gave Iran access to U.S. financial system
https://t.co/wtrSoueTqq https://t.co/pCN0FMX1Al",Wed Jun 06 13:29:36 +0000 2018,0.00,0.00,0.00,1.00
CBS News,"Is the Earth angry? Two volcanoes had massive eruptions in the past few weeks, causing wide spread devastation in H… https://t.co/S0kZlRbiCp",Wed Jun 06 13:16:19 +0000 2018,-0.73,0.00,0.24,0.76
CBS News,WATCH: Police successfully rescued a baby girl from a volcanic ash-covered home near Guatemala's Volcan de Fuego… https://t.co/P5r7UxhLRb,Wed Jun 06 13:00:27 +0000 2018,0.72,0.30,0.00,0.70
CBS News,Single mom who went into labor during final exam graduates from Harvard Law School https://t.co/YsBOky9QEv https://t.co/u4fWmxIejp,Wed Jun 06 12:39:45 +0000 2018,0.00,0.00,0.00,1.00
CBS News,"Sen. Robert Kennedy was assassinated 50 years ago, just moments after he won the California presidential primary. A… https://t.co/lfHSEK4CJX",Wed Jun 06 12:36:34 +0000 2018,0.57,0.17,0.00,0.83
CBS News,"Woman punched by New Jersey officer on the beach: ""I'm not a criminal""
https://t.co/Gn29V1Hqv1 https://t.co/LjFlUq3lEN",Wed Jun 06 12:27:44 +0000 2018,0.42,0.18,0.00,0.82
CBS News,"Starbucks recently revealed its plans to build nearly 3,000 new stores in mainland China over the next five years,… https://t.co/7REh52vs8g",Wed Jun 06 12:21:48 +0000 2018,0.00,0.00,0.00,1.00
CBS News,Headspace is a popular meditation app that aims to bring mindfulness to the masses. The app provides guided meditat… https://t.co/qU04mCTKbl,Wed Jun 06 12:15:31 +0000 2018,0.42,0.14,0.00,0.86
CBS News,Facebook is under new scrutiny after acknowledging data-sharing partnerships with at least 4 Chinese electronic com… https://t.co/sdK4gW2zbR,Wed Jun 06 12:09:34 +0000 2018,0.00,0.00,0.00,1.00
CBS News,"Today, First lady Melania Trump is expected to make her first appearance in 27 days in front of cameras. She will j… https://t.co/yxNTo4gnn7",Wed Jun 06 12:08:02 +0000 2018,0.00,0.00,0.00,1.00
CBS News,President Trump and North Korean leader Kim Jong Un will use a luxury resort in Singapore for their summit next wee… https://t.co/CRKhIWrnAK,Wed Jun 06 12:06:20 +0000 2018,0.00,0.00,0.00,1.00
CBS News,Key Senate Republicans are pushing longshot legislation that would require Congress to sign off on President Trump'… https://t.co/FLrpCVUPgt,Wed Jun 06 12:00:22 +0000 2018,0.00,0.00,0.00,1.00
CBS News,Here are some of this morning’s headlines on @CBSThisMorning https://t.co/J93l20OHFg,Wed Jun 06 11:54:17 +0000 2018,0.00,0.00,0.00,1.00
CBS News,A New Jersey police officer will not face charges for punching a woman in the head during a controversial arrest ca… https://t.co/BdjgBWaYPv,Wed Jun 06 11:47:59 +0000 2018,-0.34,0.08,0.19,0.73
CBS News,Former President Bill Clinton is responding to backlash for saying he did not believe he owed Monica Lewinsky a fac… https://t.co/3WfLWL5fxf,Wed Jun 06 11:40:30 +0000 2018,0.00,0.00,0.00,1.00
CBS News,The sister of celebrated fashion designer Kate Spade tells @CBSThisMorning she may have taken her own life because… https://t.co/dTWj8f98nU,Wed Jun 06 11:39:31 +0000 2018,0.57,0.17,0.00,0.83
CBS News,"Northern California voters have recalled a judge from office over a controversial sentencing decision, Judge Aaron… https://t.co/ZhLRa0PmHE",Wed Jun 06 11:34:31 +0000 2018,-0.34,0.00,0.21,0.79
CBS News,"Here are three things you should know this morning:
1⃣Openings outnumber jobless
2⃣Smart toy security flaws
3⃣New l… https://t.co/ID18Pe4Ss4",Wed Jun 06 11:33:47 +0000 2018,0.34,0.12,0.00,0.88
CBS News,The Kilauea Volcano in Hawaii destroyed hundreds more homes in two oceanfront communities. @LonnieQuinnTV has more… https://t.co/e4cTELTirO,Wed Jun 06 11:20:48 +0000 2018,-0.49,0.00,0.17,0.83
CBS News,Lucas Warren was named the newest poster baby for Gerber baby food earlier this year; now he's in the spotlight aga… https://t.co/k05jk4bEQX,Wed Jun 06 11:20:19 +0000 2018,0.00,0.00,0.00,1.00
CBS News,RT @CBSThisMorning: Many of the online tributes to Kate Spade have raised awareness for mental health. If you or someone you know needs hel…,Wed Jun 06 11:17:16 +0000 2018,0.00,0.00,0.00,1.00
CBS News,Guatemala's disaster agency ordered new evacuations over a sudden increase in volcanic activity after Sunday's dead… https://t.co/SezrgpdGNf,Wed Jun 06 11:16:56 +0000 2018,-0.42,0.11,0.20,0.69
CBS News,They're still counting votes following a series of primary elections that could determine who controls Congress nex… https://t.co/1K9oxvmXzf,Wed Jun 06 11:13:52 +0000 2018,0.00,0.00,0.00,1.00
CBS News,"The federal commission on school safety will hold its first public forum in Washington. Its chairman, Education Sec… https://t.co/GxIi0WXr7R",Wed Jun 06 11:10:43 +0000 2018,0.42,0.14,0.00,0.86
CBS News,"Martese Edwards, a government contractor, was arrested for attempted murder when he showed up for work at the White… https://t.co/8RSUTXSxR2",Wed Jun 06 11:10:29 +0000 2018,-0.83,0.00,0.32,0.69
CBS News,Kate Spade's sister says the fashion designer may have taken her own life because of a struggle with mental illness… https://t.co/G7M7jPqjGM,Wed Jun 06 11:06:31 +0000 2018,-0.32,0.00,0.11,0.89
CBS News,"Philippine President Rodrigo Duterte is defending an onstage kiss during a trip to South Korea: ""We enjoyed it""… https://t.co/JgY7xDULI8",Wed Jun 06 11:00:01 +0000 2018,0.73,0.28,0.00,0.72
CBS News,"RT @CBSThisMorning: WATCH: Here's a preview of what to expect on @CBSThisMorning, next at 7 a.m. https://t.co/szjAxmJURB",Wed Jun 06 10:54:02 +0000 2018,0.00,0.00,0.00,1.00
CBS News,COMING UP: The woman punched by police on a New Jersey beach gives her first TV interview to @CBSThisMorning and re… https://t.co/OHQqhw4xJQ,Wed Jun 06 10:44:53 +0000 2018,0.00,0.00,0.00,1.00
CBS News,The co-founder of the popular meditation app @Headspace is in Studio 57 with his effort to bring mindfulness to the… https://t.co/ZY3TPUPhEJ,Wed Jun 06 10:41:34 +0000 2018,0.42,0.12,0.00,0.88
CBS News,Frightened people living near Guatemala's Volcano of Fire fled with their children and few possessions when fresh f… https://t.co/iAiyE01qN4,Wed Jun 06 10:39:52 +0000 2018,-0.46,0.10,0.23,0.68
CBS News,"RT @CBSThisMorning: THIS MORNING: 
🔜@edokeefe discusses primary results
🔜@Headspace Co-founder and Chief Science Officer join us in Studio…",Wed Jun 06 10:28:04 +0000 2018,0.30,0.12,0.00,0.89
CBS News,"North Korea expert has a message for President Trump: ""Please listen to your advisers"" https://t.co/eqtQCoF5rH https://t.co/hKUvzNQ04q",Wed Jun 06 10:19:56 +0000 2018,0.32,0.14,0.00,0.86
CBS News,Stars mourn Kate Spade's death on social media https://t.co/a75XNqStO9 https://t.co/H5b0LvFRkl,Wed Jun 06 10:03:04 +0000 2018,-0.77,0.00,0.46,0.54
CBS News,"Indiana middle school shooting suspect not being charged as adult, prosecutors say https://t.co/3lxTJIjSMt https://t.co/FKIHTi50xy",Wed Jun 06 09:48:03 +0000 2018,-0.16,0.10,0.14,0.76
CBS News,"Elk attacks another woman at Yellowstone National Park, authorities say https://t.co/yBvTZLQinr https://t.co/cs3lq7l1kM",Wed Jun 06 09:33:04 +0000 2018,-0.44,0.00,0.21,0.79
CBS News,"Scott Pruitt had aide ask about Chick-fil-A ""business opportunity"" https://t.co/Edf6yKUCWY https://t.co/F7DqsWBnVr",Wed Jun 06 09:18:04 +0000 2018,0.42,0.22,0.00,0.78
CBS News,"Philadelphia mayor calls Trump a ""tyrant"" after White House snubs Eagles https://t.co/D8h7AMazc7 https://t.co/hv6wOJhFqh",Wed Jun 06 09:03:04 +0000 2018,-0.48,0.00,0.22,0.78
CBS News,Social Security says system's costs will exceed income this year https://t.co/GeEEMRzkj0 https://t.co/t3VnoOHYyS,Wed Jun 06 08:48:04 +0000 2018,0.34,0.18,0.00,0.82
CBS News,FBI agent whose gun accidentally went off in nightclub identified https://t.co/mdjjT4mlZl https://t.co/J3yPtuSDQx,Wed Jun 06 08:33:04 +0000 2018,-0.59,0.00,0.32,0.68
CBS News,Secret Service arrests White House contractor with outstanding attempted murder warrant https://t.co/gtA0FC9Ya4 https://t.co/mWFKUj8JFe,Wed Jun 06 08:18:03 +0000 2018,-0.56,0.18,0.35,0.46
CBS News,Suspect shot by police after infant found dead in hotel freezer https://t.co/zcutRJzF5u https://t.co/aLFmWyJJXp,Wed Jun 06 08:03:03 +0000 2018,-0.76,0.00,0.37,0.63
CBS News,Deer caught on video tackling man on the highway in close call https://t.co/7XcCVIWaah https://t.co/CR5L8iWA5x,Wed Jun 06 07:48:03 +0000 2018,0.00,0.00,0.00,1.00
CBS News,"New Horizons Pluto probe wakes up, on course for New Year's Day flyby https://t.co/z8ueRIRl2s https://t.co/TUSaW4osoN",Wed Jun 06 07:33:03 +0000 2018,0.00,0.00,0.00,1.00
CBS News,"Kelly Sadler, White House aide who insulted John McCain, is out https://t.co/bK5a7BqFbJ https://t.co/YiZ1zIWtCE",Wed Jun 06 07:18:03 +0000 2018,-0.51,0.00,0.22,0.78
CNN,"""You aren't listening"": Philadelphia Eagles star Malcom Jenkins wanted to be heard, so he shared his message by put… https://t.co/3I7iqR9Nem",Thu Jun 07 00:55:20 +0000 2018,0.40,0.12,0.00,0.88
CNN,Alice Marie Johnson has been released from prison. President Trump commuted her sentence today after meeting with K… https://t.co/bdPpqx3IS0,Thu Jun 07 00:50:52 +0000 2018,-0.46,0.06,0.15,0.79
CNN,"RT @AC360: “Mr. Giuliani is an absolute pig for making those comments.”

Stormy Daniels’ attorney Michael Avenatti says Rudy Giuliani's der…",Thu Jun 07 00:48:09 +0000 2018,0.00,0.00,0.00,1.00
CNN,Here are some key events in the talks between the Trump and Mueller teams https://t.co/FvnNPCv1Wd https://t.co/EqNaJTu7j4,Thu Jun 07 00:43:32 +0000 2018,0.00,0.00,0.00,1.00
CNN,Tesla's stock price soared as investors were encouraged by CEO Elon Musk's pledge that Model 3 production has turne… https://t.co/woKx2yOrOJ,Thu Jun 07 00:41:46 +0000 2018,0.36,0.12,0.00,0.88
CNN,"RT @AC360: ""I want to say to President Trump: I am going to make you proud that you gave me this second chance in life.""

Alice Marie Johns…",Thu Jun 07 00:37:53 +0000 2018,0.66,0.21,0.00,0.79
CNN,“My daughter continues to always tell me I remind her of a phoenix… I guess in order to be a phoenix I had to rise… https://t.co/aLk4zOV2sW,Thu Jun 07 00:36:30 +0000 2018,0.00,0.00,0.00,1.00
CNN,"Facebook says it has a deal to share user data with Huawei, a Chinese smartphone maker that US intelligence agencie… https://t.co/YczpPvzaDo",Thu Jun 07 00:32:29 +0000 2018,0.65,0.24,0.00,0.76
CNN,RT @AC360: “My daughter continues to always tell me I remind her of a phoenix… I guess in order to be a phoenix I had to rise above the ash…,Thu Jun 07 00:30:57 +0000 2018,0.00,0.00,0.00,1.00
CNN,What do giant doughnuts and a hot dog as big as a firetruck have in common? They are some of the peculiar buildings… https://t.co/w3PuI5PK5s,Thu Jun 07 00:20:41 +0000 2018,0.15,0.07,0.00,0.93
CNN,"Alice Marie Johnson to President Trump: ""I am going to make you proud that you gave me this second chance in life a… https://t.co/azeC8qVnRd",Thu Jun 07 00:16:17 +0000 2018,0.62,0.19,0.00,0.81
CNN,"Alice Marie Johnson on leaving prison after Trump commuted her sentence: ""I have not been in a car without handcuff… https://t.co/WjZ4McT3qv",Thu Jun 07 00:10:23 +0000 2018,-0.46,0.06,0.15,0.80
CNN,Polling in the last year has been split half and half on support for players in the NFL kneeling during the Nationa… https://t.co/YszquEzeSf,Thu Jun 07 00:09:34 +0000 2018,0.40,0.11,0.00,0.89
CNN,"""It was a complete shock. And it clearly wasn't her. There were personal demons she was battling."" The husband of f… https://t.co/drurep0qtK",Wed Jun 06 23:57:36 +0000 2018,0.03,0.11,0.11,0.78
CNN,US officials have laid the groundwork for President Donald Trump and North Korean leader Kim Jong Un to hold a seco… https://t.co/rb4cTaAb8V,Wed Jun 06 23:54:55 +0000 2018,0.00,0.00,0.00,1.00
CNN,"The police chief in Mesa, Arizona, says he was ""disappointed"" by a video that shows officers punching and kneeing a… https://t.co/7GEC34NeNw",Wed Jun 06 23:53:37 +0000 2018,0.00,0.00,0.00,1.00
CNN,The maker of Jack Daniel's is worried about the impact of a trade war https://t.co/I7mLyVwwUU https://t.co/y3mxK9Ge0u,Wed Jun 06 23:48:01 +0000 2018,-0.73,0.00,0.32,0.68
CNN,"She was kidnapped by Salvadoran guerrillas three decades ago, watched her husband be killed, and forced to cook and… https://t.co/3uUOoIEH7R",Wed Jun 06 23:42:07 +0000 2018,-0.82,0.00,0.29,0.71
CNN,"EPA Administrator Scott Pruitt on Chick-fil-A: ""We need more of them in Tulsa and we need more of them across the c… https://t.co/7E7jP3lbc2",Wed Jun 06 23:36:05 +0000 2018,0.00,0.00,0.00,1.00
CNN,"The wife of Trump campaign aide George Papadopoulos, who pleaded guilty to lying about his Russian contacts, asks P… https://t.co/XF0h8mEKs8",Wed Jun 06 23:31:09 +0000 2018,-0.74,0.00,0.26,0.74
CNN,IHOP says it's changing its name to IHOb https://t.co/OMvnRKOUhq https://t.co/4IgRjsHTZH,Wed Jun 06 23:26:03 +0000 2018,0.00,0.00,0.00,1.00
CNN,"An EPA spokesperson referred to a reporter as a ""piece of trash"" when the journalist phoned for comment on a story… https://t.co/FRFCwsvwTZ",Wed Jun 06 23:21:05 +0000 2018,0.00,0.00,0.00,1.00
CNN,"A 64-year-old woman in Australia died after contracting hepatitis A linked to frozen pomegranate seeds, according t… https://t.co/HAGs4p64yJ",Wed Jun 06 23:16:03 +0000 2018,-0.56,0.00,0.19,0.81
CNN,"Zach Wahls, an activist for LGBTQ rights who rose to prominence for a viral speech defending marriage equality and… https://t.co/5Bf6UKiRT1",Wed Jun 06 23:11:06 +0000 2018,0.00,0.00,0.00,1.00
CNN,"Former NYC Mayor and current Trump lawyer Rudy Giuliani has received a dismal favorability rating, according to a Q… https://t.co/DVNlaKVBXo",Wed Jun 06 23:06:07 +0000 2018,-0.61,0.00,0.19,0.81
CNN,Apple is getting closer and closer to becoming the first $1 trillion American company https://t.co/JRSmeYd5lT https://t.co/q1PvmCBoJn,Wed Jun 06 23:04:23 +0000 2018,0.00,0.00,0.00,1.00
CNN,Senate Republicans have accused the Obama administration of secretly trying to give Tehran access to the US financi… https://t.co/hlBOZ6n70e,Wed Jun 06 22:57:55 +0000 2018,-0.30,0.00,0.11,0.89
CNN,"Dennis Rodman is ""considering going to Singapore"" for the upcoming Trump-Kim summit, his agent says. The former NBA… https://t.co/d705nzmGhM",Wed Jun 06 22:50:53 +0000 2018,0.00,0.00,0.00,1.00
CNN,"Former NBA star Dennis Rodman is ""considering going to Singapore,"" for the upcoming summit between President Donald… https://t.co/QC04uVfYN3",Wed Jun 06 22:47:33 +0000 2018,0.00,0.00,0.00,1.00
CNN,EPA Administrator Scott Pruitt appeared to confirm recent reports that he looked into the potential of his wife ope… https://t.co/UyKGmTPeOM,Wed Jun 06 22:41:38 +0000 2018,0.00,0.00,0.00,1.00
CNN,"BREAKING: Alice Marie Johnson has just been released from prison after Trump commuted her sentence. ""I'm just so th… https://t.co/umxk4rr455",Wed Jun 06 22:33:07 +0000 2018,-0.46,0.06,0.15,0.80
CNN,"Adult film actress Stormy Daniels has launched a new lawsuit against her former attorney, Keith Davidson, as well a… https://t.co/s841T6wEBs",Wed Jun 06 22:21:24 +0000 2018,0.18,0.17,0.09,0.74
CNN,A British man who was credited with stopping a worldwide WannaCry ransomware attack last year faces new federal cha… https://t.co/bxIxE1H2X5,Wed Jun 06 22:16:31 +0000 2018,-0.30,0.11,0.21,0.68
CNN,How the Democrats avoided disaster in California https://t.co/1Q3QSDPXzE https://t.co/Ujcjyf4EDJ,Wed Jun 06 22:09:15 +0000 2018,-0.76,0.00,0.48,0.52
CNN,"Electric cars could put 100,000 German jobs at risk https://t.co/DSsF1BPcvF https://t.co/MF9OlE8Hfx",Wed Jun 06 21:55:22 +0000 2018,-0.27,0.00,0.17,0.83
CNN,"A federal judge has once again rebuked the administration's efforts to pressure so-called sanctuary cities, going f… https://t.co/KmSqtspmLJ",Wed Jun 06 21:41:28 +0000 2018,-0.30,0.00,0.12,0.88
CNN,"First responders in Russellville, Arkansas, went above and beyond the call of duty to surprise a teen with autism a… https://t.co/ZD2Oc0jUPQ",Wed Jun 06 21:41:00 +0000 2018,0.27,0.10,0.00,0.90
CNN,.@ChrisCuomo on NFL anthem controversy: “Unconditional love for this country is expressed in our freedom and our re… https://t.co/eDjorqfCP4,Wed Jun 06 21:40:51 +0000 2018,0.86,0.33,0.00,0.67
CNN,A dessert shop employee protected a gay couple from a group of people yelling slurs during Utah's Pride festival… https://t.co/sP7PwrKzTT,Wed Jun 06 21:26:08 +0000 2018,0.65,0.26,0.00,0.74
CNN,Fashion designer Kate Spade's suicide spotlights the importance of recognizing the potential warning signs when som… https://t.co/41yI7NzlwA,Wed Jun 06 21:18:27 +0000 2018,-0.66,0.11,0.29,0.60
CNN,US Immigration and Customs Enforcement officers arrested 114 undocumented immigrants working at an Ohio gardening b… https://t.co/yaqBZp41jI,Wed Jun 06 21:11:09 +0000 2018,-0.48,0.00,0.16,0.84
CNN,"President Donald Trump visited FEMA, but remained mum on a new estimate of the death toll from Hurricane Maria and… https://t.co/KlmNYSf3Rx",Wed Jun 06 21:05:50 +0000 2018,-0.75,0.00,0.22,0.78
CNN,A Milwaukee police officer stepped on NBA player Sterling Brown's ankle during his arrest and others mocked any pot… https://t.co/XrPrJw85yS,Wed Jun 06 20:59:02 +0000 2018,-0.57,0.00,0.22,0.78
CNN,In retaliation for the Trump administration announcing tariffs on steel and aluminum imports from Mexico and much o… https://t.co/LVdflRnYUc,Wed Jun 06 20:51:20 +0000 2018,0.00,0.00,0.00,1.00
CNN,The Justice Department reaffirmed that Deputy Attorney General Rod Rosenstein would step aside from overseeing the… https://t.co/DgI3CKTkgF,Wed Jun 06 20:48:04 +0000 2018,0.53,0.17,0.00,0.82
CNN,"General Motors' president Dan Ammann is leaving Lyft's board.

The rideshare firm and GM, once partners, have becom… https://t.co/tgeTp6CR8R",Wed Jun 06 20:45:31 +0000 2018,0.00,0.00,0.00,1.00
CNN,A US-North Korea friendship would be a perfect bulwark against China | By S. Nathan Park via @CNNOpinion… https://t.co/LWERhpgXta,Wed Jun 06 20:42:47 +0000 2018,0.77,0.32,0.00,0.68
CNN,Tesla's stock price soared as investors were encouraged by CEO Elon Musk's pledge that Model 3 production has turne… https://t.co/01KYLr4tXV,Wed Jun 06 20:40:12 +0000 2018,0.36,0.12,0.00,0.88
CNN,"European mental health institutions fall ""far below the standard,"" with no single institution meeting all of the st… https://t.co/uXdhv1ekRx",Wed Jun 06 20:36:58 +0000 2018,-0.30,0.00,0.11,0.89
CNN,"RT @CNNOpinion: ""Disastrous colonial adventures overseas? Rest assured, we've been doing it for a lot longer than you have. Which is why I…",Wed Jun 06 20:34:27 +0000 2018,0.00,0.18,0.14,0.68
CNN,"Two of EPA Administrator Scott Pruitt's closest aides have resigned, an official confirms to CNN… https://t.co/zep78TcGVf",Wed Jun 06 20:27:50 +0000 2018,-0.25,0.00,0.12,0.88
CNN,"American companies announced a record $201.3 billion in stock buybacks and cash takeovers in May.

Critics say the… https://t.co/UemVO2UDdb",Wed Jun 06 20:25:05 +0000 2018,-0.30,0.00,0.12,0.89
CNN,"Ex-White House communications director Anthony Scaramucci says ""someone had it out"" for the White House communicati… https://t.co/mvvRIpXIoN",Wed Jun 06 20:10:46 +0000 2018,0.00,0.00,0.00,1.00
CNN,"Wells Fargo isn't the only bank where heavy sales pressure led employees to open fake accounts, regulators say… https://t.co/0Lq3VcX1Bv",Wed Jun 06 19:55:57 +0000 2018,-0.51,0.09,0.23,0.69
CNN,Plane tickets are about to get more expensive https://t.co/62RTwKp7Ld https://t.co/IZ1WGNryw6,Wed Jun 06 19:42:22 +0000 2018,0.00,0.00,0.00,1.00
CNN,"First responders in Russellville, Arkansas, went above and beyond the call of duty to surprise a teen with autism a… https://t.co/AsHyMnBQy4",Wed Jun 06 19:31:43 +0000 2018,0.27,0.10,0.00,0.90
CNN,RT @CNNOpinion: Trump aide Michael Kratsios: The future of American aviation is all about drones https://t.co/SB2MGqhXgA,Wed Jun 06 19:27:43 +0000 2018,0.00,0.00,0.00,1.00
CNN,"Democratic Rep. Nydia Velázquez is calling for ""an independent commission similar to what we had after 9/11"" to inv… https://t.co/LXGm56LzOr",Wed Jun 06 19:24:12 +0000 2018,0.00,0.00,0.00,1.00
CNN,The clothes of a leading figure in Germany's far-right Alternative for Germany party were stolen while he was swimm… https://t.co/Jmriq1CvIa,Wed Jun 06 19:20:06 +0000 2018,-0.13,0.12,0.14,0.74
CNN,"History according to Trump, War of 1812 edition | Analysis by CNN's Z. Byron Wolf https://t.co/z8fEjVSyrw https://t.co/sIahAp9lVE",Wed Jun 06 19:15:00 +0000 2018,-0.60,0.00,0.21,0.79
CNN,A middle school gave graduates a gift it hopes they never have to use -- bullet- and stab-resistant ballistic shiel… https://t.co/6kaFkHyJVE,Wed Jun 06 19:09:15 +0000 2018,0.69,0.25,0.00,0.75
CNN,10 headlines that will make you wonder how Scott Pruitt still has a job | Analysis by @CillizzaCNN… https://t.co/aTyZdLu7LK,Wed Jun 06 19:02:38 +0000 2018,0.00,0.00,0.00,1.00
CNN,Lava flow evaporated Hawaii's largest freshwater lake within hours https://t.co/WIDroYynU9 https://t.co/JwrD3kzCb0,Wed Jun 06 18:53:30 +0000 2018,0.00,0.00,0.00,1.00
CNN,A government watchdog has cleared Interior Secretary Ryan Zinke from improper political activity when he spoke to a… https://t.co/QZ2cAMKmtM,Wed Jun 06 18:46:06 +0000 2018,0.10,0.08,0.00,0.92
CNN,"National Park Service acting director Paul Daniel Smith apologized to employees in an email for behaving ""in an ina… https://t.co/sjPiLUeXvk",Wed Jun 06 18:44:15 +0000 2018,0.32,0.11,0.00,0.89
CNN,The Consumer Financial Protection Bureau has effectively dismissed all the members of an outside board that advises… https://t.co/mwZibCPjFs,Wed Jun 06 18:33:04 +0000 2018,0.44,0.15,0.00,0.85
CNN,Why people aren't feeling the strength of the economy https://t.co/1Hfu2CyNnx https://t.co/X7MPPZ032t,Wed Jun 06 18:31:18 +0000 2018,-0.46,0.00,0.31,0.69
CNN,"RT @CNNnewsroom: ""The American people are not props,""says Ziad Ahmed, a student activist who is calling for Muslims to boycott Trump’s Ifta…",Wed Jun 06 18:30:20 +0000 2018,-0.32,0.00,0.10,0.90
CNN,The former head of USA Gymnastics exercised his Fifth Amendment right to avoid self-incrimination and declined to t… https://t.co/1pOJJLjD4d,Wed Jun 06 18:18:24 +0000 2018,-0.30,0.00,0.11,0.89
CNN,"RT @CNNnewsroom: Whether or not a person is pardoned ""shouldn't be based on which celebrities have access to the President,"" says Rep. Ted…",Wed Jun 06 18:17:22 +0000 2018,-0.17,0.00,0.07,0.93
CNN,"How Apple, which is currently worth $945 billion and on track to become the first-ever trillion-dollar company, has… https://t.co/n5sQ6hRTyh",Wed Jun 06 18:07:01 +0000 2018,0.23,0.10,0.00,0.91
CNN,"These unusual-looking concrete houses will be constructed using a 3D printer in Eindhoven, the Netherlands:… https://t.co/6jXo8LlcMI",Wed Jun 06 18:00:00 +0000 2018,0.00,0.00,0.00,1.00
CNN,"""We thank our great Singaporean hosts for their hospitality."" Donald Trump and Kim Jong Un will meet at the Capella… https://t.co/Ab0EaE5Cta",Wed Jun 06 17:55:30 +0000 2018,0.77,0.26,0.00,0.74
CNN,"From delivery to aviation, Dubai is at the forefront of drone experimentation. Here's a look at what the future hol… https://t.co/q0S1qZFoHp",Wed Jun 06 17:45:00 +0000 2018,0.00,0.00,0.00,1.00
CNN,It's hard to remember a time when Starbucks wasn't on every big-city corner and in every US suburban shopping cente… https://t.co/S6lkccOuee,Wed Jun 06 17:43:50 +0000 2018,-0.10,0.00,0.07,0.93
CNN,British troops burned down the White House during the War of 1812. Historians note the British attack on Washington… https://t.co/da00rwRB2h,Wed Jun 06 17:33:39 +0000 2018,-0.79,0.00,0.28,0.72
CNN,"According to the sources, Trudeau pressed Trump on how he could justify the tariffs as a ""national security"" issue.… https://t.co/EMylmUA4zt",Wed Jun 06 17:33:06 +0000 2018,0.34,0.12,0.00,0.88
